ticket_id,user_id,submitted_at,issue,status,resolution
TA043BA,U1017,2025-06-17T21:09:51,CSV export fails with 504 Gateway Timeout when exporting large reports,closed,Implemented chunked CSV export with pagination (50k rows per chunk)
T901398,U1020,2025-09-14T19:36:40,Export to CSV stalls at 99% and never completes for big datasets,closed,Raised export timeout to 180s and added background job queue
T674DC2,U1013,2025-08-06T01:40:56,Downloading CSV results in an empty file for large queries,closed,Added streaming backpressure and temporary files for large exports
T43C165,U1011,2025-07-22T08:45:23,CSV export throws 'stream ended unexpectedly' error,closed,Optimized SQL with covering indexes on date and org_id
TCB8F68,U1020,2025-08-10T05:20:28,Export job to CSV gets canceled due to size limits,closed,Enabled server-side compression and incremental export windows
T9B0341,U1007,2025-06-20T14:42:02,Large CSV export fails with 'ERR_STREAM_WRITE_AFTER_END',closed,Implemented chunked CSV export with pagination (50k rows per chunk)
T67D25A,U1020,2025-06-14T20:45:35,CSV download returns 500 when selecting more than 100k rows,closed,Raised export timeout to 180s and added background job queue
T92B26F,U1020,2025-09-17T03:34:26,Export to CSV completes but file is corrupted for large reports,closed,Added streaming backpressure and temporary files for large exports
T35C0DC,U1012,2025-07-22T23:45:46,CSV export fails intermittently during peak hours,closed,Optimized SQL with covering indexes on date and org_id
T1E9B37,U1020,2025-08-29T02:24:16,CSV export to S3 times out for multi‑month ranges,closed,Enabled server-side compression and incremental export windows
T3849E6,U1007,2025-06-27T20:40:21,The dashboard is really slow when I load reports,open,
TCD22A9,U1012,2025-08-14T02:28:29,Two-factor authentication code is not being received,in_progress,
T8FD0BA,U1017,2025-07-22T19:29:43,Search results are incomplete or missing items,in_progress,
T167FE4,U1016,2025-07-05T16:34:41,I get an error when trying to export data,closed,Enabled server-side compression and incremental export windows
TAD8352,U1016,2025-06-01T02:39:54,Cannot reset my password—reset link expired immediately,closed,Implemented pagination and chunked processing for exports
T15FC33,U1018,2025-06-16T07:02:04,The login page is not loading properly,open,
TDF82AF,U1005,2025-07-22T11:15:12,Search results are incomplete or missing items,open,
T638B34,U1020,2025-08-12T12:15:56,The mobile app crashes on launch,in_progress,
T731089,U1000,2025-06-14T18:51:06,Webhooks are failing with a 401 error,in_progress,
T3ED13A,U1006,2025-09-13T17:00:44,The login page is not loading properly,closed,Adjusted user role permissions and refreshed tokens
